id,title,Recipe_Description,Nutritional_Information_(per_serving),instructions,ingredients,image,total_time_mins,calories,proteins,fats,carbs,ingredients_list,instructions_list,meal_type
1771250280-58,Roast chicken breast with peppers,"Packed with flavour and colour, this chicken dish, served with potatoes and greens, is so easy to make.Prep: 15 mins
Cook: 65 mins
Serves 4","1,607kJ / 384kcal42g protein48g carbohydrate, of which 9g sugars4g fat, of which 1g saturates7g fibre0.25 g salt","Preheat the oven to 190C (fan 170C, gas mark 5). Put the potatoes onto the top shelf of the oven to bake.
  
    
  Information: 
  Try sweet potatoes instead of regular ones. Just bake them on the oven shelf above the casserole – they will take about 45 minutes to cook.


  

          
            


  
    Heat the vegetable oil in a flame-proof casserole dish and stir-fry the onion and peppers over a high heat until softened, about 3 minutes.
  

          
            


  
    Put the paprika, herbs and flour into a shallow dish, and season with some pepper, stirring to mix. Dip each chicken breast into the mixture, coating them on both sides. Transfer them to the casserole dish, placing them on top of the onions and peppers.
  

          
            


  
    Pour in the stock, then cover the dish. Put in the oven to cook once the potatoes have been baking for 30 minutes. Bake for 35 minutes.
  

          
            


  
    Around 10 minutes before the chicken and potatoes are ready, cook the broccoli in boiling water for 8 to 10 minutes, drain and serve with the rest of the meal.
  
    
  Information: 
  Try switching up the broccoli side with a serving of fresh or frozen green beans, peas or sweetcorn instead.","4 baking potatoes, scrubbed1 teaspoon vegetable oil1 small onion, peeled and sliced1 red pepper, deseeded and cut into strips1 yellow pepper, deseeded and cut into strips3 teaspoons mild paprika2 teaspoons dried oregano or mixed herbs30g plain flour1 pinch ground black pepper4 skinless, boneless uncooked chicken breasts300ml reduced-salt vegetable or chicken stock500g (or one head) broccoli, broken into florets",https://assets.nhs.uk/campaigns-cms-prod/images/Roast_chicken_breasts_with_peppers.width-1534.png,80,384kcals,42g,4g,48g,"['4 baking potatoes, scrubbed', '1 teaspoon vegetable oil', '1 small onion, peeled and sliced', '1 red pepper, deseeded and cut into strips', '1 yellow pepper, deseeded and cut into strips', '3 teaspoons mild paprika', '2 teaspoons dried oregano or mixed herbs', '30g plain flour', '1 pinch ground black pepper', '4 skinless, boneless uncooked chicken breasts', '300ml reduced-salt vegetable or chicken stock', '500g (or one head) broccoli, broken into florets']","['Preheat the oven to 190C (fan 170C, gas mark 5). Put the potatoes onto the top shelf of the oven to bake.', 'Try sweet potatoes instead of regular ones. Just bake them on the oven shelf above the casserole – they will take about 45 minutes to cook.', 'Heat the vegetable oil in a flame-proof casserole dish and stir-fry the onion and peppers over a high heat until softened, about 3 minutes.', 'Put the paprika, herbs and flour into a shallow dish, and season with some pepper, stirring to mix. Dip each chicken breast into the mixture, coating them on both sides. Transfer them to the casserole dish, placing them on top of the onions and peppers.', 'Pour in the stock, then cover the dish. Put in the oven to cook once the potatoes have been baking for 30 minutes. Bake for 35 minutes.', 'Around 10 minutes before the chicken and potatoes are ready, cook the broccoli in boiling water for 8 to 10 minutes, drain and serve with the rest of the meal.', 'Try switching up the broccoli side with a serving of fresh or frozen green beans, peas or sweetcorn instead.']",Dinner
1771250282-59,"Raspberry, orange and apple refresher","For a refreshing drink, blend frozen raspberries with apple juice and orange juice.Prep: 5 mins
Serves 4","52kcal / 221kJ1g protein10.9g carbohydrate, of which 10.9g sugars0.2g fat, of which 0.01g saturates1.7g fibretrace amounts of salt","Tip the frozen raspberries into a blender, and add the apple juice and orange juice.
  

          
            


  
    Whizz together for a few seconds until smooth and blended, then pour into 4 glasses. Serve at once.
  
    
  Information: 
  In summer, use fresh raspberries and add a few ice cubes. Use any frozen berries — blueberries or summer fruits would work well, too.",200g frozen raspberries200ml unsweetened apple juice200ml water200ml freshly squeezed orange juice,https://assets.nhs.uk/campaigns-cms-prod/images/Raspberry-orange-and-apple-refresher_wNJ8dfx.width-1534.jpg,5,52kcals,1g,0.2g,10.9g,"['200g frozen raspberries', '200ml unsweetened apple juice', '200ml water', '200ml freshly squeezed orange juice']","['Tip the frozen raspberries into a blender, and add the apple juice and orange juice.', 'Whizz together for a few seconds until smooth and blended, then pour into 4 glasses. Serve at once.', 'In summer, use fresh raspberries and add a few ice cubes. Use any frozen berries — blueberries or summer fruits would work well, too.']",Dinner
1771250284-60,Raspberry and banana shakes,"A great part of your breakfast, these shakes only take minutes to put together and help towards your 5 A Day.Prep: 5 mins
Cook: 0 mins
Serves 6","337kJ / 80kcals4.7g protein13.2g carbohydrate, of which 12.4g sugars0.7g fat, of which 0.4g saturates1.3g fibre0.1g salt","Slice the bananas into a blender and add the frozen raspberries, yogurt, milk and vanilla extract.
  
    
  Information: 
  Make a variation by using low-fat raspberry yoghurt and 150g strawberries instead of raspberries. When raspberries are in season, use them fresh instead of the frozen ones.


  

          
            


  
    Add to a blender and whizz together for a few seconds until smooth and blended, then pour into 6 glasses. Serve at once.
  
    
  Information: 
  If you don't have a blender, you can use a hand-held stick blender, whizzing the ingredients together in a jug.",2 ripe bananas150g frozen raspberries200g low-fat natural yoghurt400ml 1% fat milk1 teaspoon vanilla extract,https://assets.nhs.uk/campaigns-cms-prod/images/Raspberry_and_banana_shakes-2.width-1534.png,5,80kcals,4.7g,0.7g,13.2g,"['2 ripe bananas', '150g frozen raspberries', '200g low-fat natural yoghurt', '400ml 1% fat milk', '1 teaspoon vanilla extract']","['Slice the bananas into a blender and add the frozen raspberries, yogurt, milk and vanilla extract.', 'Make a variation by using low-fat raspberry yoghurt and 150g strawberries instead of raspberries. When raspberries are in season, use them fresh instead of the frozen ones.', 'Add to a blender and whizz together for a few seconds until smooth and blended, then pour into 6 glasses. Serve at once.', ""If you don't have a blender, you can use a hand-held stick blender, whizzing the ingredients together in a jug.""]",Breakfast
1771250286-61,Quorn and vegetable stir-fry,"Stir-fries are a great way to add more vegetables to your diet, and are an easy meal to come back to each week.Prep: 20 mins
Cook: 35 mins
Serves 4","1,318kJ / 315 kcals18g protein5.5g fat, of which 1g saturates52g carbohydrate, of which 10g sugars9g dietary fibre0.7g salt","Put the rice on to cook in a large saucepan of simmering water. Brown rice will take 30 to 35 minutes to cook; white rice will take 12 minutes.
  

          
            


  
    When the rice has about 8 minutes left to cook, heat the vegetable oil in a wok or large frying pan over a high heat.
  

          
            


  
    Add the vegetables and frozen Quorn pieces. Stir-fry for 6 to 7 minutes, until the vegetables are cooked but still crunchy.
  
    
  Information: 
  With any stir-fry, it's important to cut the vegetables into even-sized pieces so that they cook in the same amount of time.


  

          
            


  
    Add the Chinese 5-spice powder, soy sauce and sweet chilli sauce (if using) to the stir-fry. Season with some pepper and stir well. Share between 4 plates or bowls.
  

          
            


  
    Drain the rice and serve with the stir-fry.","200g easy-cook white or brown rice1 tablespoon vegetable oil4 spring onions, trimmed and finely chopped1 pepper, any colour, deseeded and finely chopped1 carrot, cut into thin strips1 courgette, cut into thin strips1 celery stick, thinly sliced150g broccoli, broken into small florets300g frozen Quorn chicken-style pieces1 pinch Chinese 5-spice powder1 teaspoon reduced-salt soy sauce1 tablespoon sweet chilli sauce1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Quorn_and_vegetable_stir-fry.width-1534.png,55,315kcals,18g,5.5g,52g,"['200g easy-cook white or brown rice', '1 tablespoon vegetable oil', '4 spring onions, trimmed and finely chopped', '1 pepper, any colour, deseeded and finely chopped', '1 carrot, cut into thin strips', '1 courgette, cut into thin strips', '1 celery stick, thinly sliced', '150g broccoli, broken into small florets', '300g frozen Quorn chicken-style pieces', '1 pinch Chinese 5-spice powder', '1 teaspoon reduced-salt soy sauce', '1 tablespoon sweet chilli sauce', '1 pinch ground black pepper']","['Put the rice on to cook in a large saucepan of simmering water. Brown rice will take 30 to 35 minutes to cook; white rice will take 12 minutes.', 'When the rice has about 8 minutes left to cook, heat the vegetable oil in a wok or large frying pan over a high heat.', 'Add the vegetables and frozen Quorn pieces. Stir-fry for 6 to 7 minutes, until the vegetables are cooked but still crunchy.', ""With any stir-fry, it's important to cut the vegetables into even-sized pieces so that they cook in the same amount of time."", 'Add the Chinese 5-spice powder, soy sauce and sweet chilli sauce (if using) to the stir-fry. Season with some pepper and stir well. Share between 4 plates or bowls.', 'Drain the rice and serve with the stir-fry.']",Dinner
1771250288-62,Quick chicken couscous,"Couscous is so quick and simple to prepare, and it goes well with lots of different flavours too.Prep: 5 mins
Cook: 15 mins
Serves 4","1,362kJ / 322kcals26.8g protein4.2g fat, of which 0.9g saturates42.8g carbohydrate, of which 4.5g sugars3.3g fibre0.5g salt","Put the couscous into a large mixing bowl and cover with the hot stock. Leave for 10 to 15 minutes to swell and cool, then stir with to fluff up the grains.
  

          
            


  
    Add the chicken, sweetcorn, tomatoes, cucumber, lemon juice and black pepper. Stir well to mix and then divide between 4 bowls.
  
    
  Information: 
  You can make a fruity version of this meal by replacing the sweetcorn, tomatoes and cucumber with chopped apple, seedless grapes, and raisins or chopped ready-to-eat dried apricots.","200g couscous450ml reduced-salt chicken or vegetable stock250g skinless, boneless roast chicken breasts, chopped100g sweetcorn2 tomatoes, choppedquarter of a cucumber, chopped1 tablespoon lemon juice1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Quick_chicken_couscous_1IZBGkV.width-1534.png,20,322kcals,26.8g,4.2g,42.8g,"['200g couscous', '450ml reduced-salt chicken or vegetable stock', '250g skinless, boneless roast chicken breasts, chopped', '100g sweetcorn', '2 tomatoes, choppedquarter of a cucumber, chopped', '1 tablespoon lemon juice', '1 pinch ground black pepper']","['Put the couscous into a large mixing bowl and cover with the hot stock. Leave for 10 to 15 minutes to swell and cool, then stir with to fluff up the grains.', 'Add the chicken, sweetcorn, tomatoes, cucumber, lemon juice and black pepper. Stir well to mix and then divide between 4 bowls.', 'You can make a fruity version of this meal by replacing the sweetcorn, tomatoes and cucumber with chopped apple, seedless grapes, and raisins or chopped ready-to-eat dried apricots.']",Lunch
1771250290-63,Pronto pizza squares,"Fancy a pizza, pronto? These are made with brown square wraps, and they're quicker to make than ordering a pizza!Prep: 10 mins
Cook: 12 mins
Serves 4","1352kJ / 321kcal16.4g protein8.8g fat, of which 3.8g saturates41.1g carbohydrate, of which 11.7g sugars6.3g fibre1.4g salt","Preheat the grill to medium-high.
  

          
            


  
    Place the wraps on a work surface and spread each one with 2 tablespoons of tomato puree, then sprinkle 1 teaspoon mixed herbs over the top of each one. Season with black pepper.
  

          
            


  
    Arrange 2 sliced tomatoes over the top of each wrap, then sprinkle with cheese.
  
    
  Information: 
  You can also add thinly sliced mushrooms or grated courgette to the top of the pizza before sprinkling with cheese.


  

          
            


  
    Grill each wrap, one-by-one, for 3 to 4 minutes until the cheese melts and bubbles.
  
    
  Information: 
  The base of your pizzas will be a bit floppy, so take care when transferring to plates.


  

          
            


  
    Serve with mixed salad leaves, garnished with olives and basil.","4 brown square wraps8 tablespoons tomato puree4 teaspoons dried Italian mixed herbs8 tomatoes, thinly sliced80g reduced fat hard cheese, grated12 black or green olives1 pinch ground black pepper1 tablespoon (or enough to garnish) fresh basil2 handfuls mixed salad leaves, to serve",https://assets.nhs.uk/campaigns-cms-prod/images/Pronto_pizza_squares.width-1534.png,22,321kcals,16.4g,8.8g,41.1g,"['4 brown square wraps', '8 tablespoons tomato puree', '4 teaspoons dried Italian mixed herbs', '8 tomatoes, thinly sliced', '80g reduced fat hard cheese, grated', '12 black or green olives', '1 pinch ground black pepper', '1 tablespoon (or enough to garnish) fresh basil', '2 handfuls mixed salad leaves, to serve']","['Preheat the grill to medium-high.', 'Place the wraps on a work surface and spread each one with 2 tablespoons of tomato puree, then sprinkle 1 teaspoon mixed herbs over the top of each one. Season with black pepper.', 'Arrange 2 sliced tomatoes over the top of each wrap, then sprinkle with cheese.', 'You can also add thinly sliced mushrooms or grated courgette to the top of the pizza before sprinkling with cheese.', 'Grill each wrap, one-by-one, for 3 to 4 minutes until the cheese melts and bubbles.', 'The base of your pizzas will be a bit floppy, so take care when transferring to plates.', 'Serve with mixed salad leaves, garnished with olives and basil.']",Dinner
1771250292-64,Prawn jambalaya,"This healthy, easy-to-make prawn dish will satisfy the whole family.Prep: 15 mins
Cook: 25 mins
Serves 4","1,448kJ / 342kcals17.9g protein2.7g fat, of which 0.4g saturates59.3g carbohydrate, of which 5.7g sugars1g salt","Put the rice into a large saucepan and cook in simmering water for 12 to 15 minutes, or according to instructions on the packet, until tender. Drain well.
  

          
            


  
    Meanwhile, heat the oil in a large non-stick frying pan and cook the onion and celery for 3 to 4 minutes, until softened.
  

          
            


  
    Add the green pepper, mushrooms, tomatoes and prawns, and stir-fry for another 4 minutes.
  
    
  Information: 
  Next time, try 150g chopped cooked chicken instead of prawns, if you like.


  

          
            


  
    Stir in the hot cooked rice, parsley, cajun seasoning or paprika and chilli powder. Cook for 2 more minutes, stirring all the time until everything is heated through.
  
    
  Information: 
  Save time by cooking the rice in advance, rinsing it with cold water to cool it quickly, then storing in the fridge until needed. Make sure it's reheated thoroughly by adding to the frying pan with the green pepper and mushrooms, and cooking for 3 to 4 minutes before stirring in the tomatoes and prawns.


  

          
            


  
    Check the seasoning, adding some pepper and an extra pinch of chilli powder if needed. Serve at once.","250g easy-cook long grain white rice1 teaspoon vegetable oil1 medium onion, finely chopped2 celery sticks, thickly sliced1 green pepper, deseeded and chopped2 handfuls of cup or button mushrooms, sliced4 tomatoes, chopped250g cooked peeled prawns (defrosted if frozen)2 tablespoons fresh parsley, chopped2 teaspoon cajun seasoninghalf a teaspoon chilli powder1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Prawn_jambalaya.width-1534.png,40,342kcals,17.9g,2.7g,59.3g,"['250g easy-cook long grain white rice', '1 teaspoon vegetable oil', '1 medium onion, finely chopped', '2 celery sticks, thickly sliced', '1 green pepper, deseeded and chopped', '2 handfuls of cup or button mushrooms, sliced', '4 tomatoes, chopped', '250g cooked peeled prawns (defrosted if frozen)', '2 tablespoons fresh parsley, chopped', '2 teaspoon cajun seasoninghalf a teaspoon chilli powder', '1 pinch ground black pepper']","['Put the rice into a large saucepan and cook in simmering water for 12 to 15 minutes, or according to instructions on the packet, until tender. Drain well.', 'Meanwhile, heat the oil in a large non-stick frying pan and cook the onion and celery for 3 to 4 minutes, until softened.', 'Add the green pepper, mushrooms, tomatoes and prawns, and stir-fry for another 4 minutes.', 'Next time, try 150g chopped cooked chicken instead of prawns, if you like.', 'Stir in the hot cooked rice, parsley, cajun seasoning or paprika and chilli powder. Cook for 2 more minutes, stirring all the time until everything is heated through.', ""Save time by cooking the rice in advance, rinsing it with cold water to cool it quickly, then storing in the fridge until needed. Make sure it's reheated thoroughly by adding to the frying pan with the green pepper and mushrooms, and cooking for 3 to 4 minutes before stirring in the tomatoes and prawns."", 'Check the seasoning, adding some pepper and an extra pinch of chilli powder if needed. Serve at once.']",Dinner
1771250294-65,Potato and poached egg hash,"A great way to use up cold cooked potatoes!Prep: 10 mins
Cook: 20 mins
Serves 4","876kJ / 209kcal12.3g protein19.4g carbohydrate, of which 3.5g sugars8.6g fat, of which 2.3g saturates2.7g fibre0.6g salt","Heat the vegetable oil in a large non-stick frying pan and add the bacon, cooking it for 1 to 2 minutes. Tip in the potatoes and cook over a medium heat for 12 to 15 minutes, turning occasionally, until browned.
  
    
  Information: 
  New potatoes or charlotte potatoes are ideal for this recipe, as they don't break up. If using cold potatoes, take care when stirring — and avoid stirring too often to help them keep their shape.


  

          
            


  
    Add the spring onions and tomatoes, and cook over a low heat for another 4 to 5 minutes, while poaching the eggs.
  

          
            


  
    Poach the eggs in simmering water for 3 to 4 minutes, until the whites are set and the yolks still runny (or longer if you prefer a firm set).
  
    
  Information: 
  Add a few drops of vinegar to the poaching water to help keep the eggs together.


  

          
            


  
    Share the potato hash between 4 warm serving plates and place a poached egg on top. Season with black pepper, then serve.
  
    
  Information: 
  For a vegetarian version, swap the bacon for 2 tablespoons of drained canned red kidney beans, packed in water.","2 teaspoons vegetable oil2 rashers lean back bacon, chopped400g potatoes, pre-cooked and cut into chunks4 spring onions, finely chopped4 tomatoes, chopped4 eggs1 pinch ground black pepper",https://assets.nhs.uk/campaigns-cms-prod/images/Potato-and-poached-egg-hash_mwTKtAT.width-1534.jpg,30,209kcals,12.3g,8.6g,19.4g,"['2 teaspoons vegetable oil', '2 rashers lean back bacon, chopped', '400g potatoes, pre-cooked and cut into chunks', '4 spring onions, finely chopped', '4 tomatoes, chopped', '4 eggs', '1 pinch ground black pepper']","['Heat the vegetable oil in a large non-stick frying pan and add the bacon, cooking it for 1 to 2 minutes. Tip in the potatoes and cook over a medium heat for 12 to 15 minutes, turning occasionally, until browned.', ""New potatoes or charlotte potatoes are ideal for this recipe, as they don't break up. If using cold potatoes, take care when stirring — and avoid stirring too often to help them keep their shape."", 'Add the spring onions and tomatoes, and cook over a low heat for another 4 to 5 minutes, while poaching the eggs.', 'Poach the eggs in simmering water for 3 to 4 minutes, until the whites are set and the yolks still runny (or longer if you prefer a firm set).', 'Add a few drops of vinegar to the poaching water to help keep the eggs together.', 'Share the potato hash between 4 warm serving plates and place a poached egg on top. Season with black pepper, then serve.', 'For a vegetarian version, swap the bacon for 2 tablespoons of drained canned red kidney beans, packed in water.']",Breakfast
1771250296-66,Porridge with yoghurt and berries,"Porridge is very satisfying and good for you, especially when served with fruit. What's more, porridge oats are cheap to buy, and better for you than sugar-coated cereal. A great way to start your day!Prep: 5 mins
Cook: 10 mins
Serves 4","974kJ / 207kcals8.4g protein33.8g carbohydrate, of which 7.4g sugars3.9g fat, of which 1g saturates3.7g fibre0.1g salt","Put the porridge oats and water into a non-stick saucepan. Heat and stir until boiling, then lower the heat and simmer gently, stirring often, for 5 minutes.
  
    
  Information: 
  Remember to take the frozen fruit out of the freezer the night before so that it has thawed out in time for breakfast.


  

          
            


  
    Spoon the porridge into serving bowls and top each portion with 2 tablespoons of yoghurt. Spoon the berries on top and serve.","150g porridge oats8 tablespoons low-fat natural yoghurt100g defrosted frozen summer berries, or forest fruits",https://assets.nhs.uk/campaigns-cms-prod/images/Porridge_with_yoghurt_and_berries.width-1534.png,15,207kcals,8.4g,3.9g,33.8g,"['150g porridge oats', '8 tablespoons low-fat natural yoghurt', '100g defrosted frozen summer berries, or forest fruits']","['Put the porridge oats and water into a non-stick saucepan. Heat and stir until boiling, then lower the heat and simmer gently, stirring often, for 5 minutes.', 'Remember to take the frozen fruit out of the freezer the night before so that it has thawed out in time for breakfast.', 'Spoon the porridge into serving bowls and top each portion with 2 tablespoons of yoghurt. Spoon the berries on top and serve.']",Breakfast
1771250298-67,Pork with apples and celery,"This is a super example of how sweet and savoury flavours can work together to make a delicious dinner dish.Prep: 10 mins
Cook: 30 mins
Serves 4","1,368kJ / 327kcals27g protein6g fat, of which 2g saturates43g carbohydrate, of which 10g sugars4g fibre0.2g salt","Cook the potatoes in simmering water, until tender. They will take about 20 minutes. Drain and put aside when cooked.
  

          
            


  
    Meanwhile, heat 1 teaspoon of the oil in a large non-stick frying pan. Add the apple slices, cooking them over a medium-high heat for 2 to 3 minutes per side. Add the sugar and cook for another 1 or 2 minutes, until browned. Remove from the pan and set aside. Wipe the pan with kitchen paper.
  

          
            


  
    Roll the pieces of pork fillet in the dried mixed herbs. Heat the remaining oil in the frying pan. Add the pork and cook over medium-heat for a few minutes to brown.
  
    
  Information: 
  Another time, try this recipe with turkey breast steaks instead of pork.


  

          
            


  
    Add the onion and celery, then pour in the stock and apple juice. Leave to simmer for 10 to 15 minutes, stirring occasionally. The liquid should reduce down a little. Season with pepper.
  

          
            


  
    Mash the potatoes and beat in the milk.
  

          
            


  
    Serve the potatoes with the pork and apples, along with a portion of lightly cooked fresh or frozen vegetables, like broccoli.
  
    
  Information: 
  Pork fillet is delicious and quite economical. If you have any left over, try cutting it into strips or thin slices and stir-fry with lots of fresh vegetables, serving with rice or noodles.","750g potatoes, scrubbed and cut into chunks2 teaspoons vegetable oil1 red apple, cored and cut into 1cm-thick sliceshalf a teaspoon caster sugar400g pork fillet (tenderloin), sliced into chunks and fat trimmed2 teaspoons dried mixed herbs1 medium onion, thinly sliced2 celery sticks, thinly sliced150ml reduced-salt vegetable or chicken stock150ml unsweetened apple juice1 pinch ground black pepper4 tablespoons 1%-fat milk",https://assets.nhs.uk/campaigns-cms-prod/images/Pork_with_apples__celery_9utC3uN.width-1534.png,40,327kcals,27g,6g,43g,"['750g potatoes, scrubbed and cut into chunks', '2 teaspoons vegetable oil', '1 red apple, cored and cut into 1cm-thick sliceshalf a teaspoon caster sugar', '400g pork fillet (tenderloin), sliced into chunks and fat trimmed', '2 teaspoons dried mixed herbs', '1 medium onion, thinly sliced', '2 celery sticks, thinly sliced', '150ml reduced-salt vegetable or chicken stock', '150ml unsweetened apple juice', '1 pinch ground black pepper', '4 tablespoons 1%-fat milk']","['Cook the potatoes in simmering water, until tender. They will take about 20 minutes. Drain and put aside when cooked.', 'Meanwhile, heat 1 teaspoon of the oil in a large non-stick frying pan. Add the apple slices, cooking them over a medium-high heat for 2 to 3 minutes per side. Add the sugar and cook for another 1 or 2 minutes, until browned. Remove from the pan and set aside. Wipe the pan with kitchen paper.', 'Roll the pieces of pork fillet in the dried mixed herbs. Heat the remaining oil in the frying pan. Add the pork and cook over medium-heat for a few minutes to brown.', 'Another time, try this recipe with turkey breast steaks instead of pork.', 'Add the onion and celery, then pour in the stock and apple juice. Leave to simmer for 10 to 15 minutes, stirring occasionally. The liquid should reduce down a little. Season with pepper.', 'Mash the potatoes and beat in the milk.', 'Serve the potatoes with the pork and apples, along with a portion of lightly cooked fresh or frozen vegetables, like broccoli.', 'Pork fillet is delicious and quite economical. If you have any left over, try cutting it into strips or thin slices and stir-fry with lots of fresh vegetables, serving with rice or noodles.']",Dinner
1771250300-68,Pork and garlic bread bake,"This easy pork bake is hearty and full of flavour, with slices of cheese-topped garlic bread giving it a gorgeous crunchy finish.Prep: 15 mins
Cook: 90 mins
Serves 4","1,792kJ / 426 kcal32.7g protein14.4g fat, of which 3.7g saturates39.5g carbohydrate, of which 7.9g sugars4.1g fibre1.3g salt","Sprinkle the dried mixed herbs, pepper and flour onto a plate and mix. Roll the cubes of pork in this mixture. Preheat the oven to 180C (160C fan, gas mark 4).
  

          
            


  
    Heat the oil in a flameproof casserole dish. Add the pork, onion, celery and apple, and cook for about 5 minutes, stirring well.
  

          
            


  
    Add the stock and bring to the boil. Once bubbling, remove from the heat, cover and cook in the oven for 75 minutes.
  

          
            


  
    Once the casserole has been in the oven for about 70 minutes, make the topping. Mix together the low-fat spread and garlic, then spread on the slices of bread.
  

          
            


  
    Remove the dish from the oven. Arrange the bread on top of the casserole, spread-side up, and sprinkle over the cheese. Return to the oven, without a lid, to bake for another 10 to 15 minutes until browned.
  
    
  Information: 
  Use finely grated parmesan instead of cheddar, if you prefer.


  

          
            


  
    Once cooked, leave to cool for a few minutes before dividing into bowls. Tuck in and enjoy!
  
    
  Information: 
  Serve with a portion of your favorite green veg – like broccoli, green beans or spinach – to help towards your 5 A Day.","2 teaspoons dried mixed herbs25g plain flour1 pinch ground black pepper450g pork fillet (tenderloin), cut into chunks1 teaspoon vegetable oil1 large onion, chopped2 celery sticks1 medium apple, cored and chopped500ml reduced-salt vegetable or chicken stock4 teaspoons lower-fat spread1 garlic clove, crushed1 baguette, cut to give about 15 slices20g reduced-fat mature cheddar cheese, grated",https://assets.nhs.uk/campaigns-cms-prod/images/Pork_and_garlic_bread_bake_bCxvaYz.width-1534.png,105,426kcals,32.7g,14.4g,39.5g,"['2 teaspoons dried mixed herbs', '25g plain flour', '1 pinch ground black pepper', '450g pork fillet (tenderloin), cut into chunks', '1 teaspoon vegetable oil', '1 large onion, chopped', '2 celery sticks', '1 medium apple, cored and chopped', '500ml reduced-salt vegetable or chicken stock', '4 teaspoons lower-fat spread', '1 garlic clove, crushed', '1 baguette, cut to give about 15 slices', '20g reduced-fat mature cheddar cheese, grated']","['Sprinkle the dried mixed herbs, pepper and flour onto a plate and mix. Roll the cubes of pork in this mixture. Preheat the oven to 180C (160C fan, gas mark 4).', 'Heat the oil in a flameproof casserole dish. Add the pork, onion, celery and apple, and cook for about 5 minutes, stirring well.', 'Add the stock and bring to the boil. Once bubbling, remove from the heat, cover and cook in the oven for 75 minutes.', 'Once the casserole has been in the oven for about 70 minutes, make the topping. Mix together the low-fat spread and garlic, then spread on the slices of bread.', 'Remove the dish from the oven. Arrange the bread on top of the casserole, spread-side up, and sprinkle over the cheese. Return to the oven, without a lid, to bake for another 10 to 15 minutes until browned.', 'Use finely grated parmesan instead of cheddar, if you prefer.', 'Once cooked, leave to cool for a few minutes before dividing into bowls. Tuck in and enjoy!', 'Serve with a portion of your favorite green veg – like broccoli, green beans or spinach – to help towards your 5 A Day.']",Dinner
1771250302-69,Pork and bean casserole,"This cheap and cheerful casserole is perfect for an economical mid-week meal.Prep: 10 mins
Cook: 90 mins
Serves 4","1,586 kJ / 379kcals33g protein5.5g fat, of which 1.5g saturates40g carbohydrate, of which 16.5g sugars12g fibre0.5g salt","Preheat the oven to 180C (160C fan, gas mark 4).
  

          
            


  
    Meanwhile, heat the vegetable oil in a large flameproof casserole dish. Add the chunks of pork, cooking them over a high heat for 3 to 4 minutes, until seared and browned.
  
    
  Information: 
  This casserole also works really well with chunks of turkey or chicken breast instead of pork.


  

          
            


  
    Add the onion, garlic, carrots and apple. Cook, stirring, for 2 more minutes.
  

          
            


  
    Add the tomatoes, beans, tomato purée, worcestershire sauce, mixed herbs and stock. Season with some pepper and stir well to mix. Put the lid on and transfer to the oven to cook for 90 minutes. Serve, sprinkled with the chopped parsley.
  
    
  Information: 
  Why not serve with some jacket potatoes? Just scrub some even-sized large potatoes and bake them on the shelf above the casserole for the final hour.","1 teaspoon vegetable oil350g lean pork shoulder, cut into chunks1 large onion, chopped1 garlic clove, crushed2 carrots, sliced1 unpeeled medium apple, cored and chopped400g chopped tomatoes2 tins haricot or cannellini beans in water, rinsed and drained300ml reduced-salt vegetable or chicken stock2 tablespoons tomato purée1 tablespoon worcestershire sauce2 teaspoons dried mixed herbs1 pinch ground black pepper2 tablespoons chopped fresh parsley",https://assets.nhs.uk/campaigns-cms-prod/images/Pork_and_bean_casserole_pD00hWj.width-1534.png,100,379kcals,33g,5.5g,40g,"['1 teaspoon vegetable oil', '350g lean pork shoulder, cut into chunks', '1 large onion, chopped', '1 garlic clove, crushed', '2 carrots, sliced', '1 unpeeled medium apple, cored and chopped', '400g chopped tomatoes', '2 tins haricot or cannellini beans in water, rinsed and drained', '300ml reduced-salt vegetable or chicken stock', '2 tablespoons tomato purée', '1 tablespoon worcestershire sauce', '2 teaspoons dried mixed herbs', '1 pinch ground black pepper', '2 tablespoons chopped fresh parsley']","['Preheat the oven to 180C (160C fan, gas mark 4).', 'Meanwhile, heat the vegetable oil in a large flameproof casserole dish. Add the chunks of pork, cooking them over a high heat for 3 to 4 minutes, until seared and browned.', 'This casserole also works really well with chunks of turkey or chicken breast instead of pork.', 'Add the onion, garlic, carrots and apple. Cook, stirring, for 2 more minutes.', 'Add the tomatoes, beans, tomato purée, worcestershire sauce, mixed herbs and stock. Season with some pepper and stir well to mix. Put the lid on and transfer to the oven to cook for 90 minutes. Serve, sprinkled with the chopped parsley.', 'Why not serve with some jacket potatoes? Just scrub some even-sized large potatoes and bake them on the shelf above the casserole for the final hour.']",Dinner
